pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,longevity,basal_lvs,stem_lvs,total_lvs,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
PLZ,Europe,NorthAmerica,CA,FI,CA12,2369,M,7,68.0,117.0,185.0,12.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,71,72,36,2.0,2.0,2.0
JNS,NorthAmerica,NorthAmerica,CA,CN,CA04,2371,M,6,55.0,25.0,80.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45,46,23,4.0,4.0,4.0
OSE1,Europe,NorthAmerica,VA,CN,VA07,2372,V,2,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,66,33,1.0,1.0,1.0
RUZ,Europe,NorthAmerica,VA,CN,VA06,2373,F,7,27.0,74.0,101.0,16.0,7.0,3.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,89,90,45,1.0,1.0,1.0
CHELD1,NorthAmerica,NorthAmerica,CA,FI,CA10,2374,M,7,42.0,68.0,110.0,11.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17,18,9,3.0,3.0,3.0
MAI,Europe,Europe,CH,CN,CH08,2375,F,7,69.0,102.0,171.0,15.0,21.0,0.0,7.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,53,54,27,1.0,1.0,1.0
FMN,NorthAmerica,Europe,UK,CN,UK03,2376,V,5,24.0,6.0,30.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35,36,18,4.0,4.0,4.0
CHELD2,NorthAmerica,Europe,CH,CN,CH08,2377,M,7,46.0,213.0,259.0,14.0,21.0,45.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,19,20,10,3.0,3.0,3.0
CHELD1,NorthAmerica,NorthAmerica,VA,FI,VA10,2378,F,7,89.0,275.0,364.0,20.0,7.0,1.0,9.0,0.0,2.0,0.0,0.0,7.0,3.0,0.0,17,18,9,3.0,3.0,3.0
CHELL,NorthAmerica,NorthAmerica,CA,CN,CA12,2379,F,4,17.0,22.0,39.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,22,11,3.0,3.0,3.0
RVVW,NorthAmerica,NorthAmerica,VA,FI,VA02,2380,F,3,16.0,18.0,34.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,92,46,5.0,5.0,5.0
CHELD1,NorthAmerica,Europe,CH,CN,CH10,2381,V,2,22.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17,18,9,3.0,3.0,3.0
BER,Europe,Europe,UK,FI,UK01,2382,M,7,61.0,105.0,166.0,14.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,7,8,4,1.0,1.0,1.0
BZE,Europe,Europe,CH,FI,CH10,2383,M,6,4.0,58.0,62.0,13.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,10,5,2.0,2.0,2.0
OSE1,Europe,Europe,UK,FI,UK11,2384,F,7,60.0,74.0,134.0,12.0,7.0,2.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,65,66,33,1.0,1.0,1.0
CCMI,NorthAmerica,Europe,CH,FI,CH10,2385,F,6,38.0,116.0,154.0,15.0,6.0,2.0,10.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,11,12,6,4.0,4.0,4.0
GAP,Europe,Europe,CH,FI,CH02,2386,F,6,38.0,52.0,90.0,14.0,18.0,0.0,13.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,37,38,19,1.0,1.0,1.0
VES,Europe,Europe,UK,CN,UK12,2389,F,7,10.0,448.0,458.0,17.0,14.0,3.0,29.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,111,112,56,,,
BZE,Europe,NorthAmerica,VA,FI,VA06,2392,F,3,31.0,40.0,71.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,9,10,5,2.0,2.0,2.0
RVVW,NorthAmerica,NorthAmerica,CA,FI,CA02,2393,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,92,46,5.0,5.0,5.0
JNS,NorthAmerica,NorthAmerica,CA,CN,CA04,2394,V,5,23.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,46,23,4.0,4.0,4.0
DK5,Europe,NorthAmerica,CA,CN,CA06,2395,F,7,84.0,105.0,189.0,17.0,7.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29,30,15,2.0,2.0,2.0
